101 Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10100055	Centrala - B2B Collect                                                                                                                      	C-la           	Warszawa                      	ul. �wi�tokrzyska 11/21                 	00-919	Warszawa                      	1011  	      	            	22 185 10 10        	                    	22 185 23 09        	                    	2008-04-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	MAZOWIECKIE           	Warszawa
101 Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101010	Oddzia� Okr�gowy w Warszawie                                                                                                                	O/Okr.         	Warszawa                      	pl. Powsta�c�w Warszawy 4               	00-950	Warszawa                      	1017  	      	            	22 185 10 03        	22 185 10 16        	22 185 25 28        	22 185 27 89        	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	MAZOWIECKIE           	Warszawa
101 Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101078	Oddzia� Okr�gowy w Bydgoszczy                                                                                                               	O/Okr.         	Bydgoszcz                     	ul. Jagiello�ska 8                      	85-067	Bydgoszcz                     	      	      	            	22 180 22 72        	                    	22 180 23 09        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	KUJAWSKO-POMORSKIE    	Bydgoszcz
101 Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101238	Oddzia� Okr�gowy w Kielcach                                                                                                                 	O/Okr.         	Kielce                        	ul. Warszawska 46                       	25-312	Kielce                        	661   	      	            	22 184 11 27        	                    	22 184 11 01        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	�WI�TOKRZYSKIE        	Kielce
101 Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101371	Oddzia� Okr�gowy w �odzi                                                                                                                    	O/Okr.         	��d�                          	ul. Aleja T. Ko�ciuszki 14              	90-950	��d�                          	142   	      	            	22 184 27 04        	                    	22 184 27 07        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	��DZKIE               	��d�
101 Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101469	Oddzia� Okr�gowy w Poznaniu                                                                                                                 	O/Okr.         	Pozna�                        	Aleje Karola Marcinkowskiego 12         	61-827	Pozna�                        	510   	      	            	22 186 12 62        	                    	22 186 15 00        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	WIELKOPOLSKIE         	Pozna�
101 Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101674	Oddzia� Okr�gowy we Wroc�awiu                                                                                                               	O/Okr.         	Wroc�aw                       	ul. Ofiar O�wi�cimskich 41/43           	50-059	Wroc�aw                       	1470  	      	            	22 187 13 04        	                    	22 187 13 18        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	DOLNO�L�SKIE          	Wroc�aw
102 Powszechna Kasa Oszcz�dno�ci Bank Polski Sp��ka Akcyjna                                                                                     	IKO, Inteligo, iPKO, PKO Bank Polski SA, PKO BP SA, SKO                                             	144,9045,102,70210                                	10200016	Departament Rozlicze� - Centrala                                                                                                            	C-inne         	Warszawa                      	ul. Pu�awska 15                         	02-515	Warszawa                      	      	      	            	22 580 33 92        	                    	                    	                    	1990-03-31	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa
102 Powszechna Kasa Oszcz�dno�ci Bank Polski Sp��ka Akcyjna                                                                                     	IKO, Inteligo, iPKO, PKO Bank Polski SA, PKO BP SA, SKO                                             	144,9045,102,70210                                	10200045	Departament Produkt�w Korporacyjnych - P�atno�ci Masowe 2                                                                                   	C-inne         	Warszawa                      	ul. Pu�awska 15                         	00-975	Warszawa                      	      	      	            	22 521 98 56        	                    	22 521 72 87        	                    	2009-01-02	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa
102 Powszechna Kasa Oszcz�dno�ci Bank Polski Sp��ka Akcyjna                                                                                     	IKO, Inteligo, iPKO, PKO Bank Polski SA, PKO BP SA, SKO                                             	144,9045,102,70210                                	10200074	Departament Produkt�w Zarz�dzania �rodkami Finansowymi - P�atno�ci Masowe 5                                                                 	C-inne         	Warszawa                      	ul. Pu�awska 15                         	00-975	Warszawa                      	      	      	            	22 521 98 56        	                    	22 521 72 87        	                    	2010-03-01	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa
102 Powszechna Kasa Oszcz�dno�ci Bank Polski Sp��ka Akcyjna                                                                                     	IKO, Inteligo, iPKO, PKO Bank Polski SA, PKO BP SA, SKO                                             	144,9045,102,70210                                	10200133	Centrum Zarz�dzania Got�wk� Zesp�� CZG w Krzeszowicach                                                                                      	C.Oper         	Krzeszowice                   	ul. T. Ko�ciuszki 44                    	30-065	Krzeszowice                   	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MA�OPOLSKIE           	krakowski
